store,type,department,date,weekly_sales,is_holiday,temperature_c
1,A,1,05/02/2019,24924.5,FALSE,5.727777778
1,C,1,05/03/2019,21827.9,FALSE,8.055555556
1,A,1,02/04/2019,57258.43,FALSE,16.81666667
1,A,1,07/05/2019,17413.94,FALSE,22.52777778
1,A,1,04/06/2019,17558.09,FALSE,27.05
1,A,1,02/07/2019,16333.14,FALSE,27.17222222
1,A,1,06/08/2019,17508.41,FALSE,30.64444444
1,C,1,03/09/2019,16241.78,FALSE,27.33888889
1,A,1,01/10/2019,20094.19,FALSE,22.16111111
1,A,1,05/11/2019,34238.88,FALSE,14.85555556
1,A,1,03/12/2019,22517.56,FALSE,9.594444444
1,A,1,07/01/2020,15984.24,FALSE,9.038888889
1,A,2,05/02/2019,50605.27,FALSE,5.727777778
1,A,2,05/03/2019,48397.98,FALSE,8.055555556
1,A,2,02/04/2019,47450.5,FALSE,16.81666667
1,A,2,07/05/2019,47903.01,FALSE,22.52777778
1,A,2,04/06/2019,48754.47,FALSE,27.05
1,A,2,02/07/2019,47077.72,FALSE,27.17222222
1,A,2,06/08/2019,50031.73,FALSE,30.64444444
1,C,2,03/09/2019,49015.05,FALSE,27.33888889
1,A,2,01/10/2019,45829.02,FALSE,22.16111111
1,A,2,05/11/2019,46381.43,FALSE,14.85555556
1,A,2,03/12/2019,44405.02,FALSE,9.594444444
1,A,2,07/01/2020,43202.29,FALSE,9.038888889
1,A,3,05/02/2019,13740.12,FALSE,5.727777778
1,C,3,05/03/2019,12275.58,FALSE,8.055555556
1,A,3,02/04/2019,11157.08,FALSE,16.81666667
1,A,3,07/05/2019,9372.8,FALSE,22.52777778
1,A,3,04/06/2019,8001.41,FALSE,27.05
1,A,3,02/07/2019,7857.88,FALSE,27.17222222
1,C,3,06/08/2019,26719.02,FALSE,30.64444444
1,A,3,03/09/2019,19081.8,FALSE,27.33888889
1,A,3,01/10/2019,9775.17,FALSE,22.16111111
1,A,3,05/11/2019,9825.22,FALSE,14.85555556
1,A,3,03/12/2019,10856.85,FALSE,9.594444444
1,A,3,07/01/2020,15808.15,FALSE,9.038888889
1,A,4,05/02/2019,39954.04,FALSE,5.727777778
1,A,4,05/03/2019,38086.19,FALSE,8.055555556
1,A,4,02/04/2019,37809.49,FALSE,16.81666667
1,A,4,07/05/2019,37168.34,FALSE,22.52777778
1,A,4,04/06/2019,40548.19,FALSE,27.05
1,A,4,02/07/2019,39773.71,FALSE,27.17222222
1,A,4,06/08/2019,40973.88,FALSE,30.64444444
1,A,4,03/09/2019,38321.88,FALSE,27.33888889
1,A,4,01/10/2019,34912.45,FALSE,22.16111111
1,A,4,05/11/2019,37980.55,FALSE,14.85555556
1,A,4,03/12/2019,37110.55,FALSE,9.594444444
1,A,4,07/01/2020,37947.8,FALSE,9.038888889
1,A,5,05/02/2019,32229.38,FALSE,5.727777778
1,A,5,05/03/2019,23082.14,FALSE,8.055555556
1,A,5,02/04/2019,29967.92,FALSE,16.81666667
1,A,5,07/05/2019,19260.44,FALSE,22.52777778
1,A,5,04/06/2019,22932.26,FALSE,27.05
1,C,5,02/07/2019,18887.71,FALSE,27.17222222
1,A,5,06/08/2019,16926.17,FALSE,30.64444444
